Postcode;Plaatsnaam;Gemeentecode;Gemeente;Provinciecode;Provincie;Zorgkantoorcode;Zorgkantoor;Rechtspersoon
4861;CHAAM             ;1723;ALPHEN-CHAAM            ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4870;ETTEN LEUR        ;777;ETTEN-LEUR              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4871;ETTEN LEUR        ;777;ETTEN-LEUR              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4872;ETTEN LEUR        ;777;ETTEN-LEUR              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4873;ETTEN LEUR        ;777;ETTEN-LEUR              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4874;ETTEN LEUR        ;777;ETTEN-LEUR              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4875;ETTEN LEUR        ;777;ETTEN-LEUR              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4876;ETTEN LEUR        ;777;ETTEN-LEUR              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4877;ETTEN LEUR        ;777;ETTEN-LEUR              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4878;ETTEN LEUR        ;777;ETTEN-LEUR              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4879;ETTEN LEUR        ;777;ETTEN-LEUR              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4880;ZUNDERT           ;879;ZUNDERT                 ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4881;ZUNDERT           ;879;ZUNDERT                 ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4882;KLEIN ZUNDERT     ;879;ZUNDERT                 ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4884;WERNHOUT          ;879;ZUNDERT                 ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4885;ACHTMAAL          ;879;ZUNDERT                 ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4890;RYSBERGEN         ;879;ZUNDERT                 ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4891;RYSBERGEN         ;879;ZUNDERT                 ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4900;OOSTERHOUT NB     ;826;OOSTERHOUT              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
